Core: LPDDR2x32_4p_p0 - Instance: mem_int|lpddr2x32_4p_inst|lpddr2x32_4p_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.358,0.341
"Bus Turnaround Time (Slow 1100mV 85C Model)",4.97,--
"Core (Slow 1100mV 85C Model)",0.111,0.16
"Core Recovery/Removal (Slow 1100mV 85C Model)",9.543,0.014
"DQS vs CK (Slow 1100mV 85C Model)",0.685,0.677
"Read Capture (Slow 1100mV 85C Model)",0.252,0.205
"Write (Slow 1100mV 85C Model)",0.223,0.223
"Address Command (Slow 1100mV 0C Model)",0.342,0.337
"Bus Turnaround Time (Slow 1100mV 0C Model)",5.012,--
"Core (Slow 1100mV 0C Model)",0.18,0.21
"Core Recovery/Removal (Slow 1100mV 0C Model)",9.823,0.07
"DQS vs CK (Slow 1100mV 0C Model)",0.724,0.717
"Read Capture (Slow 1100mV 0C Model)",0.263,0.216
"Write (Slow 1100mV 0C Model)",0.233,0.233
"Address Command (Fast 1100mV 85C Model)",0.231,0.204
"Bus Turnaround Time (Fast 1100mV 85C Model)",5.394,--
"Core (Fast 1100mV 85C Model)",1.385,0.14
"Core Recovery/Removal (Fast 1100mV 85C Model)",11.68,0.219
"DQS vs CK (Fast 1100mV 85C Model)",1.091,1.098
"Read Capture (Fast 1100mV 85C Model)",0.426,0.379
"Write (Fast 1100mV 85C Model)",0.281,0.281
"Address Command (Fast 1100mV 0C Model)",0.204,0.229
"Bus Turnaround Time (Fast 1100mV 0C Model)",5.389,--
"Core (Fast 1100mV 0C Model)",1.471,0.128
"Core Recovery/Removal (Fast 1100mV 0C Model)",12.12,0.202
"DQS vs CK (Fast 1100mV 0C Model)",1.087,1.105
"Read Capture (Fast 1100mV 0C Model)",0.43,0.383
"Write (Fast 1100mV 0C Model)",0.283,0.283
